order_id,customers_name,phone,email,city,state,product_name,brand_name,category_name,store_name,staffs_name,order_status,order_date,required_date,shipped_date,quantity,list_price,discount,total,month,cepat_kirim,on_time,discount_group,segmentasi_product
132,Monika Berg,No Number,monika.berg@gmail.com,Encino,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-03-20,2016-03-22,2016-03-23,1,599.99,0.05,569.99,2016-03,3.0,False,Low,mid
146,Keturah Massey,No Number,keturah.massey@msn.com,Banning,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-03-28,2016-03-30,2016-03-30,2,599.99,0.1,1079.98,2016-03,2.0,True,Medium,mid
169,Carie Kidd,No Number,carie.kidd@yahoo.com,Monroe,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-04-10,2016-04-11,2016-04-11,2,599.99,0.1,1079.98,2016-04,1.0,True,Medium,mid
173,Dacia William,No Number,dacia.william@msn.com,Sugar Land,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,4,2016-04-11,2016-04-14,2016-04-13,2,599.99,0.05,1139.98,2016-04,2.0,True,Low,mid
177,Lucy Woods,No Number,lucy.woods@gmail.com,Palos Verdes Peninsula,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-04-16,2016-04-19,2016-04-19,2,599.99,0.1,1079.98,2016-04,3.0,True,Medium,mid
179,Shery Acosta,No Number,shery.acosta@yahoo.com,Saratoga Springs,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-04-17,2016-04-19,2016-04-19,2,599.99,0.1,1079.98,2016-04,2.0,True,Medium,mid
185,Corene Wall,No Number,corene.wall@msn.com,Atwater,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,3,2016-04-20,2016-04-20,,1,599.99,0.1,539.99,2016-04,,False,Medium,mid
196,Tammie Cherry,No Number,tammie.cherry@hotmail.com,Massapequa,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-04-28,2016-04-30,2016-05-01,1,599.99,0.1,539.99,2016-04,3.0,False,Medium,mid
198,Allison Nolan,(845) 276-5729,allison.nolan@gmail.com,New City,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-05-01,2016-05-04,2016-05-03,2,599.99,0.07,1115.98,2016-05,2.0,True,Medium,mid
206,Tania Swanson,No Number,tania.swanson@yahoo.com,Longview,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Layla Terrell,4,2016-05-04,2016-05-06,2016-05-05,1,599.99,0.2,479.99,2016-05,1.0,True,High,mid
223,Veronique Fulton,No Number,veronique.fulton@yahoo.com,Ballston Spa,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-05-15,2016-05-16,2016-05-17,1,599.99,0.05,569.99,2016-05,2.0,False,Low,mid
237,Carman Hardy,No Number,carman.hardy@yahoo.com,Jamestown,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-05-25,2016-05-26,2016-05-27,2,599.99,0.2,959.98,2016-05,2.0,False,High,mid
238,Annett Rush,No Number,annett.rush@hotmail.com,Rosedale,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-05-26,2016-05-29,2016-05-29,2,599.99,0.2,959.98,2016-05,3.0,True,High,mid
277,Thad Castro,(631) 943-1407,thad.castro@msn.com,Brentwood,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-06-19,2016-06-20,2016-06-20,2,599.99,0.2,959.98,2016-06,1.0,True,High,mid
282,Regina Burns,No Number,regina.burns@aol.com,Garland,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Layla Terrell,4,2016-06-22,2016-06-25,2016-06-25,1,599.99,0.07,557.99,2016-06,3.0,True,Medium,mid
284,Inger Jennings,No Number,inger.jennings@yahoo.com,Patchogue,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-06-23,2016-06-25,2016-06-25,1,599.99,0.2,479.99,2016-06,2.0,True,High,mid
287,Delbert Wilkins,No Number,delbert.wilkins@aol.com,Coram,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-06-25,2016-06-26,2016-06-27,1,599.99,0.05,569.99,2016-06,2.0,False,Low,mid
304,Chelsey Hardin,No Number,chelsey.hardin@hotmail.com,Deer Park,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-07-07,2016-07-08,2016-07-08,1,599.99,0.1,539.99,2016-07,1.0,True,Medium,mid
316,Shawnda Glover,No Number,shawnda.glover@gmail.com,Liverpool,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-07-17,2016-07-20,2016-07-19,1,599.99,0.1,539.99,2016-07,2.0,True,Medium,mid
343,Iva Wilcox,No Number,iva.wilcox@aol.com,Kingston,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-07-31,2016-08-02,2016-08-01,2,599.99,0.2,959.98,2016-07,1.0,True,High,mid
349,Jamaal Albert,No Number,jamaal.albert@gmail.com,Torrance,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,2016-08-03,2016-08-03,,2,599.99,0.2,959.98,2016-08,,False,High,mid
350,Williemae Holloway,(510) 246-8375,williemae.holloway@msn.com,Oakland,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,2016-08-03,2016-08-03,,1,599.99,0.07,557.99,2016-08,,False,Medium,mid
351,Cinda Rocha,No Number,cinda.rocha@hotmail.com,Los Banos,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-08-03,2016-08-06,2016-08-04,1,599.99,0.2,479.99,2016-08,1.0,True,High,mid
363,Brain Skinner,No Number,brain.skinner@hotmail.com,Euless,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,4,2016-08-11,2016-08-12,2016-08-13,1,599.99,0.2,479.99,2016-08,2.0,False,High,mid
384,Conception Slater,No Number,conception.slater@gmail.com,Bellmore,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-08-20,2016-08-22,2016-08-23,1,599.99,0.1,539.99,2016-08,3.0,False,Medium,mid
407,Keri Bridges,No Number,keri.bridges@gmail.com,Richardson,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,3,2016-09-01,2016-09-01,,1,599.99,0.2,479.99,2016-09,,False,High,mid
418,Titus Bullock,No Number,titus.bullock@gmail.com,Hollis,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-09-04,2016-09-05,2016-09-05,1,599.99,0.05,569.99,2016-09,1.0,True,Low,mid
421,Le Deleon,No Number,le.deleon@msn.com,Banning,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-09-05,2016-09-06,2016-09-08,2,599.99,0.2,959.98,2016-09,3.0,False,High,mid
422,Suellen Mercado,No Number,suellen.mercado@yahoo.com,Sunnyside,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-09-06,2016-09-07,2016-09-09,2,599.99,0.05,1139.98,2016-09,3.0,False,Low,mid
434,Rochell Cantrell,No Number,rochell.cantrell@yahoo.com,Port Jefferson Station,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-09-13,2016-09-15,2016-09-14,1,599.99,0.1,539.99,2016-09,1.0,True,Medium,mid
444,Jamaal Albert,No Number,jamaal.albert@gmail.com,Torrance,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-09-19,2016-09-20,2016-09-21,2,599.99,0.05,1139.98,2016-09,2.0,False,Low,mid
453,Shanna Bonner,No Number,shanna.bonner@msn.com,Canandaigua,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-09-22,2016-09-24,2016-09-25,2,599.99,0.2,959.98,2016-09,3.0,False,High,mid
476,Basilia Thornton,(631) 592-9548,basilia.thornton@hotmail.com,Brentwood,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-10-01,2016-10-04,2016-10-02,2,599.99,0.05,1139.98,2016-10,1.0,True,Low,mid
499,Rodrick Shelton,No Number,rodrick.shelton@hotmail.com,Canyon Country,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-10-11,2016-10-14,2016-10-13,2,599.99,0.1,1079.98,2016-10,2.0,True,Medium,mid
507,Enoch Rosario,(559) 329-7615,enoch.rosario@hotmail.com,Fresno,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-10-15,2016-10-17,2016-10-17,2,599.99,0.1,1079.98,2016-10,2.0,True,Medium,mid
523,Rebbecca Espinoza,No Number,rebbecca.espinoza@hotmail.com,Mount Vernon,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-10-24,2016-10-26,2016-10-27,1,599.99,0.05,569.99,2016-10,3.0,False,Low,mid
542,Melani Jarvis,No Number,melani.jarvis@hotmail.com,Maspeth,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-11-04,2016-11-06,2016-11-05,1,599.99,0.1,539.99,2016-11,1.0,True,Medium,mid
545,Bao Wade,No Number,bao.wade@gmail.com,Desoto,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Layla Terrell,4,2016-11-08,2016-11-10,2016-11-09,2,599.99,0.07,1115.98,2016-11,1.0,True,Medium,mid
555,Buford Bridges,(248) 604-7346,buford.bridges@msn.com,Troy,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-11-13,2016-11-14,2016-11-16,2,599.99,0.07,1115.98,2016-11,3.0,False,Medium,mid
590,Casimira Chapman,No Number,casimira.chapman@yahoo.com,Monroe,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-12-06,2016-12-09,2016-12-07,1,599.99,0.07,557.99,2016-12,1.0,True,Medium,mid
612,Taylor Cole,No Number,taylor.cole@gmail.com,Carmel,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-12-16,2016-12-17,2016-12-17,1,599.99,0.2,479.99,2016-12,1.0,True,High,mid
691,Carson Macias,No Number,carson.macias@gmail.com,New Rochelle,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-02-04,2017-02-06,2017-02-06,1,599.99,0.2,479.99,2017-02,2.0,True,High,mid
774,Yevette Elliott,No Number,yevette.elliott@aol.com,Jackson Heights,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-03-12,2017-03-14,2017-03-14,1,599.99,0.2,479.99,2017-03,2.0,True,High,mid
782,Trudy Riddle,No Number,trudy.riddle@aol.com,Schenectady,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-03-15,2017-03-16,2017-03-18,2,599.99,0.07,1115.98,2017-03,3.0,False,Medium,mid
833,Kerrie O'neill,No Number,kerrie.o'neill@gmail.com,Shirley,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-04-12,2017-04-14,2017-04-15,2,599.99,0.05,1139.98,2017-04,3.0,False,Low,mid
905,Eliana Reese,No Number,eliana.reese@hotmail.com,Woodhaven,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-05-23,2017-05-26,2017-05-24,1,599.99,0.2,479.99,2017-05,1.0,True,High,mid
914,Doris Kaufman,No Number,doris.kaufman@gmail.com,Duarte,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2017-05-28,2017-05-31,2017-05-31,2,599.99,0.2,959.98,2017-05,3.0,True,High,mid
948,Skye Pope,No Number,skye.pope@yahoo.com,Richmond Hill,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-06-15,2017-06-17,2017-06-17,2,599.99,0.1,1079.98,2017-06,2.0,True,Medium,mid
952,Arvilla Weiss,No Number,arvilla.weiss@msn.com,Bay Shore,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-06-16,2017-06-18,2017-06-18,2,599.99,0.07,1115.98,2017-06,2.0,True,Medium,mid
983,Vito Pickett,No Number,vito.pickett@hotmail.com,Canandaigua,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-06-27,2017-06-28,2017-06-29,2,599.99,0.2,959.98,2017-06,2.0,False,High,mid
992,Vicki Wiggins,No Number,vicki.wiggins@hotmail.com,Wappingers Falls,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-07-07,2017-07-10,2017-07-09,1,599.99,0.2,479.99,2017-07,2.0,True,High,mid
1006,Olimpia Mays,No Number,olimpia.mays@aol.com,Oakland Gardens,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-07-15,2017-07-18,2017-07-17,1,599.99,0.07,557.99,2017-07,2.0,True,Medium,mid
1020,Emmitt Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,New York,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,3,2017-07-23,2017-07-23,,2,599.99,0.05,1139.98,2017-07,,False,Low,mid
1029,Dannette Guerrero,No Number,dannette.guerrero@gmail.com,San Pablo,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2017-07-29,2017-07-30,2017-08-01,1,599.99,0.2,479.99,2017-07,3.0,False,High,mid
1043,Georgina Gonzales,No Number,georgina.gonzales@yahoo.com,Endicott,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-08-06,2017-08-09,2017-08-08,1,599.99,0.07,557.99,2017-08,2.0,True,Medium,mid
1073,Nikita Roy,No Number,nikita.roy@aol.com,Pittsford,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-08-18,2017-08-19,2017-08-21,1,599.99,0.2,479.99,2017-08,3.0,False,High,mid
1142,Hilde Nieves,No Number,hilde.nieves@gmail.com,Campbell,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2017-09-23,2017-09-26,2017-09-26,2,599.99,0.07,1115.98,2017-09,3.0,True,Medium,mid
1157,Corene Wall,No Number,corene.wall@msn.com,Atwater,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2017-10-01,2017-10-03,2017-10-04,1,599.99,0.1,539.99,2017-10,3.0,False,Medium,mid
1175,Monty Frost,(516) 460-5396,monty.frost@aol.com,Hempstead,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-10-09,2017-10-11,2017-10-12,1,599.99,0.05,569.99,2017-10,3.0,False,Low,mid
1228,Bettye Espinoza,No Number,bettye.espinoza@yahoo.com,Oswego,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-11-04,2017-11-06,2017-11-06,2,599.99,0.05,1139.98,2017-11,2.0,True,Low,mid
1250,Marcene Curtis,(914) 361-6045,marcene.curtis@msn.com,Yonkers,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-11-17,2017-11-19,2017-11-18,2,599.99,0.05,1139.98,2017-11,1.0,True,Low,mid
1273,Sung Chambers,No Number,sung.chambers@gmail.com,Kingston,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-11-27,2017-11-29,2017-11-29,1,599.99,0.07,557.99,2017-11,2.0,True,Medium,mid
1302,Merideth Preston,No Number,merideth.preston@yahoo.com,Poughkeepsie,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2017-12-16,2017-12-18,2017-12-19,2,599.99,0.1,1079.98,2017-12,3.0,False,Medium,mid
1312,Charise Burt,(559) 888-2229,charise.burt@aol.com,Fresno,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2017-12-25,2017-12-28,2017-12-26,1,599.99,0.07,557.99,2017-12,1.0,True,Medium,mid
1323,Queenie Vance,No Number,queenie.vance@gmail.com,Ozone Park,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2017-12-31,2018-01-01,2018-01-01,1,599.99,0.05,569.99,2017-12,1.0,True,Low,mid
1426,Emory O'connor,(507) 606-2192,emory.o'connor@gmail.com,Rochester,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2018-03-07,2018-03-08,2018-03-10,2,599.99,0.05,1139.98,2018-03,3.0,False,Low,mid
1571,Sarai Mckee,(716) 912-8110,sarai.mckee@msn.com,Buffalo,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,2018-04-22,2018-04-22,,2,599.99,0.2,959.98,2018-04,,False,High,mid
1,Johnathan Velazquez,No Number,johnathan.velazquez@hotmail.com,Pleasanton,CA,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,4,2016-01-01,2016-01-03,2016-01-03,2,1799.99,0.07,3347.98,2016-01,2.0,True,Medium,premium
11,Tarra Guerrero,No Number,tarra.guerrero@aol.com,Auburn,NY,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,4,2016-01-05,2016-01-08,2016-01-07,1,1799.99,0.05,1709.99,2016-01,2.0,True,Low,premium
15,Ellsworth Michael,No Number,ellsworth.michael@yahoo.com,Carmel,NY,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,4,2016-01-09,2016-01-10,2016-01-12,1,1799.99,0.07,1673.99,2016-01,3.0,False,Medium,premium
16,Lea Key,No Number,lea.key@yahoo.com,Banning,CA,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,4,2016-01-12,2016-01-15,2016-01-15,1,1799.99,0.2,1439.99,2016-01,3.0,True,High,premium
17,Sindy Anderson,No Number,sindy.anderson@gmail.com,Pomona,CA,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,4,2016-01-12,2016-01-14,2016-01-14,1,1799.99,0.07,1673.99,2016-01,2.0,True,Medium,premium
27,Pamala Henry,No Number,pamala.henry@aol.com,Bronx,NY,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,4,2016-01-19,2016-01-21,2016-01-20,1,1799.99,0.07,1673.99,2016-01,1.0,True,Medium,premium
29,Laureen Barry,No Number,laureen.barry@yahoo.com,Orchard Park,NY,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,4,2016-01-20,2016-01-22,2016-01-21,1,1799.99,0.2,1439.99,2016-01,1.0,True,High,premium
32,Kimbery Nieves,No Number,kimbery.nieves@msn.com,San Carlos,CA,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,4,2016-01-21,2016-01-24,2016-01-22,2,1799.99,0.07,3347.98,2016-01,1.0,True,Medium,premium
34,Sarai Mckee,(716) 912-8110,sarai.mckee@msn.com,Buffalo,NY,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,4,2016-01-22,2016-01-25,2016-01-23,2,1799.99,0.07,3347.98,2016-01,1.0,True,Medium,premium
40,Darren Witt,No Number,darren.witt@aol.com,Coachella,CA,Trek Remedy 29 Carbon Frameset,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,4,2016-01-27,2016-01-28,2016-01-29,2,1799.99,0.2,2879.98,2016-01,2.0,False,High,premium
